snr_db,accuracy
-20,0.09327272727272727
-18,0.09290909090909091
-16,0.09618181818181819
-14,0.11781818181818182
-12,0.16472727272727272
-10,0.24763636363636363
-8,0.3618181818181818
-6,0.5094545454545455
-4,0.6247272727272727
-2,0.7210909090909091
0,0.8134545454545454
2,0.8170909090909091
4,0.8189090909090909
6,0.8301818181818181
8,0.8218181818181818
10,0.8258181818181818
12,0.8274545454545454
14,0.8376363636363636
16,0.8223636363636364
18,0.8287272727272728
