snr_db,accuracy
-20,0.09218181818181818
-18,0.09218181818181818
-16,0.09418181818181819
-14,0.10581818181818183
-12,0.15
-10,0.25127272727272726
-8,0.3694545454545455
-6,0.49672727272727274
-4,0.6027272727272728
-2,0.7029090909090909
0,0.7852727272727272
2,0.8029090909090909
4,0.8169090909090909
6,0.8169090909090909
8,0.82
10,0.8190909090909091
12,0.8187272727272727
14,0.8265454545454546
16,0.8170909090909091
18,0.8161818181818182
