snr_db,accuracy
-20,0.09490909090909092
-18,0.09618181818181819
-16,0.09472727272727273
-14,0.10963636363636364
-12,0.13527272727272727
-10,0.2330909090909091
-8,0.36218181818181816
-6,0.5352727272727272
-4,0.6476363636363637
-2,0.7103636363636363
0,0.7474545454545455
2,0.7523636363636363
4,0.7585454545454545
6,0.7621818181818182
8,0.7634545454545455
10,0.772
12,0.7707272727272727
14,0.7709090909090909
16,0.7576363636363637
18,0.773090909090909
